2026-02-19 00:46:04 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %44.4 | Pil: %79
2026-02-19 00:46:04 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:46:04 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %56.2 | Pil: %79
2026-02-19 00:46:07 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %88.9 | Pil: %79
2026-02-19 00:46:07 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %12.5 | Pil: %79
2026-02-19 00:46:29 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:46:29 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %62.5 | Pil: %79
2026-02-19 00:46:54 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %70.6 | Pil: %79
2026-02-19 00:46:54 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:46:55 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %70.6 | Pil: %79
2026-02-19 00:46:55 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %8.3 | Pil: %79
2026-02-19 00:47:28 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:47:28 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %50.0 | Pil: %79
2026-02-19 00:47:28 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:47:28 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %33.3 | Pil: %79
2026-02-19 00:47:51 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %84.6 | Pil: %79
2026-02-19 00:47:51 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:48:01 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:48:01 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %33.3 | Pil: %79
2026-02-19 00:48:06 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:48:06 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %10.7 | Pil: %79
2026-02-19 00:48:23 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %81.2 | Pil: %79
2026-02-19 00:48:23 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %50.0 | Pil: %79
2026-02-19 00:48:23 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:48:23 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %8.3 | Pil: %79
2026-02-19 00:48:28 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %78.1 | Pil: %79
2026-02-19 00:48:28 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %70.0 | Pil: %79
2026-02-19 00:48:34 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:48:34 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %12.5 | Pil: %79
2026-02-19 00:48:54 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %90.0 | Pil: %79
2026-02-19 00:48:54 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %14.3 | Pil: %79
2026-02-19 00:48:58 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %86.7 | Pil: %79
2026-02-19 00:48:58 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %28.6 | Pil: %79
2026-02-19 00:49:13 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:49:13 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %25.0 | Pil: %79
2026-02-19 00:49:15 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %93.8 | Pil: %79
2026-02-19 00:49:15 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %6.7 | Pil: %79
2026-02-19 00:49:56 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %70.6 | Pil: %79
2026-02-19 00:49:56 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:50:28 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %76.9 | Pil: %79
2026-02-19 00:50:28 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %20.0 | Pil: %79
2026-02-19 00:50:38 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %89.5 | Pil: %79
2026-02-19 00:50:38 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %47.1 | Pil: %79
2026-02-19 00:50:43 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %83.3 | Pil: %79
2026-02-19 00:50:43 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:50:49 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %92.3 | Pil: %79
2026-02-19 00:50:49 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:50:56 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:50:56 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %12.5 | Pil: %79
2026-02-19 00:50:56 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %71.9 | Pil: %79
2026-02-19 00:50:56 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %41.7 | Pil: %79
2026-02-19 00:51:04 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %70.6 | Pil: %79
2026-02-19 00:51:04 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %66.7 | Pil: %79
2026-02-19 00:51:04 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %80.0 | Pil: %79
2026-02-19 00:51:04 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %35.7 | Pil: %79
2026-02-19 00:51:07 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:51:08 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %43.8 | Pil: %79
2026-02-19 00:51:09 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %72.2 | Pil: %79
2026-02-19 00:51:09 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %52.9 | Pil: %79
2026-02-19 00:51:10 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %91.2 | Pil: %79
2026-02-19 00:51:10 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %15.8 | Pil: %79
2026-02-19 00:51:16 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:51:16 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %56.2 | Pil: %79
2026-02-19 00:51:16 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:51:16 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %26.7 | Pil: %79
2026-02-19 00:51:20 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:51:20 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %33.3 | Pil: %79
2026-02-19 00:51:20 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %81.2 | Pil: %79
2026-02-19 00:51:20 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %18.8 | Pil: %79
2026-02-19 00:51:20 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %73.9 | Pil: %79
2026-02-19 00:51:20 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %23.8 | Pil: %79
2026-02-19 00:51:21 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %70.6 | Pil: %79
2026-02-19 00:51:21 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %40.0 | Pil: %79
2026-02-19 00:51:22 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:51:22 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %56.2 | Pil: %79
2026-02-19 00:51:22 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %70.6 | Pil: %79
2026-02-19 00:51:22 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %47.1 | Pil: %79
2026-02-19 00:51:24 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %83.3 | Pil: %79
2026-02-19 00:51:24 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %43.8 | Pil: %79
2026-02-19 00:51:24 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:51:24 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %56.2 | Pil: %79
2026-02-19 00:51:25 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %87.5 | Pil: %79
2026-02-19 00:51:26 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %25.0 | Pil: %79
2026-02-19 00:51:26 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %93.8 | Pil: %79
2026-02-19 00:51:26 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %43.8 | Pil: %79
2026-02-19 00:51:29 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %34.0 | Pil: %79
2026-02-19 00:51:30 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:30 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %19.2 | Pil: %79
2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
